,Unnamed: 0,0,1,2,3
0,0,1,a,에이,"['에이', '영어', '자모의', '첫', '자', '자형', '의', '것', '가정의', '제', '갑', '가', '음', '가', '조', '제', '기지수', '미', '수', '학업', '성적에서', '전', '수', '연속된', '것의', '첫번째의', '것', '제', '급', '로이드', '선급', '협회의', '선박', '검사', '등급', '최고의', '제', '류의', '처음부터', '끝까지', '와', '의', '구별도', '모르다', '낫', '놓고', '기역자도', '모르다', '일자', '무식이다', '부정관사', '는', '특히', '강조할', '경우나', '숨을', '쉰', '다음', '발음할', '때에만', '쓴다', '자음', '앞에서는', '모음', '앞에서는', '을', '쓰며', '철자에', '의존하지는', '않는다', '단수형의', '가산명사에', '형용사가', '붙을', '경우', '보통', '의', '어순이', '된다', '문어인', '감탄사인', '종종', '의', '경우에는', '은', '그', '단어들', '뒤에', '온다', '뒤에', '형용사가', '오는', '경우', '의', '어순이', '된다', '등', '한정사', '나', '등', '소유격과', '을', '함께', '쓸', '수는', '없다', '는', '잘못', '형용사의', '비교급', '의', '경우에는', '을', '넣지', '않는다', '는', '잘못이다', '호칭일', '경우에는', '관사가', '없다', '보어가', '되는', '명사가', '관직', '지위', '역할', '등을', '나타낼', '경우에는', '관사가', '없다', '그녀는', '의장으로', '뽑혔다', '의', '뜻에서', '는', '자음', '앞에서', '의', '이', '탈락한', '것', '어떤', '하나의', '하나의', '이라는', '것', '모든', '당', '마다', '가산명사의', '단수형', '앞에서', '막연히', '어떤', '하나', '한', '사람', '의', '의', '약한', '뜻으로', '보통', '새기지', '않음', '책상', '위에', '책이', '한', '권', '있다', '책이', '있으면', '좋겠다', '한', '학생이', '나를', '만나러', '왔다', '좋은', '일자리는', '아니나', '그저', '그만한', '일자리야', '그녀는', '목소리가', '썩', '좋다', '형편없다', '시인이자', '소설가', '한', '사람', '는', '보통', '시인과', '소설가', '두', '사람', '의', '뜻', '단', '한', '사람의', '양면', '활동', '성질을', '강조할', '때는', '두', '군데에', '다', '관사가', '붙음', '그는', '배우인', '동시에', '극작가였다', '줄', '달린', '시계', '는', '의', '뜻으로서', '한', '개의', '것으로', '간주함', '하나의', '한', '사람의', '속담', '로마는', '하루에', '이룩된', '것은', '아니다', '한마디로', '한', '사람도', '빠짐없이', '아무', '말도', '안했다', '하루', '이틀', '책', '한', '권이라', '했지', '잡지', '한', '권이라고는', '하지', '않았다', '보통', '불가산명사로', '쓰이는', '명사에', '붙이어', '의', '한', '조각', '의', '한', '예', '의', '인분', '회분', '의', '한', '종류', '의', '결과', '만들어지는', '것', '돌멩이', '석재', '모닥불', '화재', '난로불', '등', '불', '살인', '사건', '하나의', '친절한', '행위', '맥주', '커피', '위스키', '소다', '한', '잔', '아스피린', '한', '알', '한잠', '자다', '발명품', '발명', '건축물', '건축', '어느', '정도의', '의', '약한', '뜻', '어떤', '의미로는', '천문학에', '관해서', '조금은', '알고', '있다', '전문가는', '아니다', '고유명사에', '붙이어', '이라는', '사람', '스미스라는', '분', '고유명사에', '붙이어', '집안', '가문', '의', '사람', '스튜어트', '가문', '사람', '고유명사에', '붙이어', '의', '작품', '제작', '피카소의', '작품', '포드', '회사제', '차', '고유명사에', '붙이어', '와', '같은', '사람', '것', '뉴턴과', '같은', '사람', '대과학자', '의', '형태로', '와', '같은', '천사와', '같은', '아주', '귀여운', '소년', '고유명사에', '붙이어', '사람', '등의', '새로운', '면이나', '그때까지', '알려지지', '않았던', '면을', '나타내어', '복수에', '불탄', '피터', '배런', '총칭적', '이라는', '것', '모든', '의', '약한', '뜻', '보통', '새기지', '않음', '개는', '충직하다', '복수구문에서도', '를', '쓰지', '않음', '단위를', '나타내는', '낱말에', '붙이어', '당', '마다', '에', '전치사의', '구실을', '하며', '새기지', '않을', '때도', '있음', '하루에', '한', '번', '야드에', '달러', '동일한', '같은', '보통', '의', '형태로', '씀', '모두', '한', '마음', '같은', '크기', '이다', '두', '사람', '이상이', '동갑이다', '깃털이', '같은', '새들', '같은', '무리의', '사람들', '수량을', '나타내는', '단어에', '붙이어', '관용법적으로', '공간적', '시간적으로', '으로부터', '공간적으로', '에서', '떨어져서', '에서', '나뉘어서', '시간적으로', '이래', '후', '선험적', '으로', '단가', '으로', '에서', '으로', '의']"
1,1,2,able,할,"['할', '수', '있는', '저희들끼리', '음식을', '발견할', '수', '있다', '유능한', '능란한', '수완가', '뛰어난', '연설', '일을', '하는', '데에', '필요한', '또는', '뛰어난', '능력을', '지닌', '어떤', '일을', '하는', '데에', '필요한', '실제적인', '능력을', '지닌', '특정한', '일을', '하는', '데에', '충분한', '능력을', '지닌', '자격', '있는', '할', '수', '있다', '이', '된다']"
2,2,3,about,기본적으로는,"['기본적으로는', '위치', '즉', '주위에', '의', '뜻이다', '따라서', '와', '비슷한', '뜻이나', '는', '둘러싸서', '의', '뜻이', '강하다', '주로', '부사와', '전치사로', '쓰이는데', '양자의', '구별이', '어려울', '때도', '있다', '특히', '유의해야', '할', '용법은', '다음과', '같다', '에', '관하여', '의', '경우', '는', '일반적인', '것에', '은', '고급이면서', '전문적인', '것에', '쓴다', '새에', '관한', '대화', '경제학에', '관한', '강의', '는', '보다', '더', '박두한', '미래에', '쓴다', '따라서', '등', '때를', '나타내는', '부사와', '함께', '쓰지', '않는다', '등에', '이어지는', '는', '비교적', '자세한', '사항에', '대해서', '는', '가볍게', '언급할', '때', '쓰는', '경향이', '있다', '에', '관하여', '의', '뜻을', '나타내는', '낱말', '등', '중에서는', '만이', '목적어의', '앞', '뒤', '어느쪽에서나', '쓸', '수', '있다', '주위에', '의', '뜻에서', '에', '대하여', '의', '주위에', '의', '여기저기에', '대략', '약', '관계', '종사', '에', '대하여', '대한', '에', '관하여', '관한', '의', '경우보다', '일반적인', '내용의', '것에', '씀', '원예', '책', '돈', '문제로', '옥신각신했다', '그것에', '대하여는', '다', '알고', '있다', '이', '책은', '무슨', '내용인가', '도대체', '왜들', '이', '법석이지', '네가', '어떻게', '지내고', '있는지', '걱정하고', '있더라', '앞의', '는', '에서는', '흔히', '생략됨', '에', '대하여', '에게', '그녀는', '로버트에게', '미쳐', '있다', '에', '종사하여', '에', '착수하여', '그것을', '하는', '김에', '그는', '뭘', '하고', '있나', '냉큼', '하거라', '주위', '영', '의', '주위에', '가까이에', '미', '이', '근처에', '문간께에', '서다', '영', '의', '여기저기에', '로', '의', '사방에', '으로', '미', '들에', '나무가', '점점이', '흩어져', '서', '있다', '나라', '안을', '두루', '여행하다', '방안을', '이리저리', '걸어다니다', '의', '주위에', '의', '못', '주위의', '나무들', '경', '께', '에', '약', '수사', '앞의', '는', '부사로', '봄', '월말께', '그는', '대충', '나만하다', '몸의', '주변', '신변', '보통', '의', '구문에서', '사람', '물건이', '풍기는', '분위기를', '나타내어', '의', '신변에', '에', '게', '는', '그는', '어딘지', '기품이', '있다', '그의', '행동에는', '어딘지', '이상한', '데가', '있다', '몸', '가까이에', '마침', '손에', '있어서', '그의', '소지품', '전부', '수사와', '함께', '대략', '약', '약', '마일', '시쯤', '됐다', '라는', '표현을', '못', '쓴다는', '이도', '있으나', '실제로는', '종종', '씀', '거의', '대략', '대체로', '옳고', '마치고', '떠날', '시각이', '거의', '됐다', '비꼼', '약간', '좀', '어쩐지', '그의', '얘기는', '좀', '따분하다', '가리키는', '수', '양에', '이르고', '있는가의', '여부는', '문제시', '않고', '대체로', '그것에', '가까운', '경우에', '쓰인다', '조금만', '더하면', '가리키는', '수', '양에', '이를', '것', '같은', '경우에', '쓰인다', '쪽이', '보다', '그', '접근', '정도가', '높을', '때', '쓰인다', '영', '주위에', '근처에', '가까이에', '미', '가까이에', '아무도', '없다', '그는', '거기', '어디에', '있습니까', '보통', '동작을', '나타내는', '동사와', '함께', '여기저기에', '이리저리로', '사방에', '하고', '돌아다니는', '미', '큰', '돈을', '가지고', '다니다', '을', '따라다니다', '걸어', '움직여', '돌아다니다', '둘러보다', '물건을', '이리저리', '움직이다', '보통', '동사와', '함께', '사방에', '아무렇게나', '미', '도구가', '여기저기', '흩어져', '있었다', '물건을', '사방에', '떨어뜨리다', '보통', '동사와', '함께', '어슬렁어슬렁', '돌아다니다', '놀고', '다니다', '미', '빈들빈들', '지내다', '뺑', '돌아서', '둘러서', '주위를', '뺑', '돌아', '멀리', '우회하다', '방향을', '바꾸어', '반대의', '위치', '방향', '로', '반대로', '거꾸로', '뒤로', '돌아를', '시키다', '몸의', '방향을', '틀다', '뒤로', '돌아', '차례로', '번갈아', '하다', '미', '에서는', '보통', '를', '붙이지', '않음', '미', '비슷비슷하여', '거의', '같아서', '종사하고', '있다', '자리에서', '일어나', '있다', '거의', '대충', '그렇다', '거꾸로', '반대로', '부정사와', '함께', '지금', '막', '하려고', '하여', '는', '보다도', '지금', '막', '하려고', '한다', '의', '뜻을', '보다', '명확히', '나타낸다', '따라서', '등의', '부사', '구', '는', '쓰지', '않는다', '어떤', '예사롭지', '않은', '일이', '일어나려', '하고', '있었다', '막', '나가려는', '참에', '그가', '찾아왔다', '부정문에서', '미', '할', '생각은', '전혀', '없어서', '거기다가', '달러나', '버릴', '생각은', '없다', '일어나서', '움직여', '돌아다니고', '활동하여', '병이', '유행하여', '홍역이', '돌고', '있다', '돛', '방향을', '반대로', '바꾸다', '바람', '불어오는', '쪽으로', '돌려', '돌림준비']"
3,3,4,above,위쪽에,"['위쪽에', '으로', '표면에서', '떨어져서', '위에', '의', '뜻으로', '사용', '빈도가', '높은', '전치사적', '부사의', '하나이다', '표면에', '접하여', '위에', '는', '이고', '뒤덮듯이', '위에', '는', '이다', '의', '용법의', '차이의', '한', '예', '폭포는', '다리에서', '마일', '상류에', '있다', '배가', '강에', '떠', '있다', '강에', '다리를', '놓다', '장소', '보다', '위에', '수량', '을', '넘어', '지위', '보다', '윗자리에', '방향', '장소', '보다', '위에', '로', '보다', '높이', '높은', '의', '위에', '나와서', '나무', '위를', '날다', '그', '봉우리는', '구름', '위에', '솟아', '있다', '나무', '위에', '의', '상류에', '의', '다리', '위', '상류', '쪽에', '있는', '폭포', '의', '앞쪽', '건너', '에', '더', '가서', '의', '북쪽에', '에서', '그는', '학교에서', '다섯', '집', '더', '간', '데에', '살고', '있다', '수량', '정도', '수량', '등', '을', '넘는', '넘어', '이', '넘다', '시속', '마일이', '넘는', '속도', '세', '이상의', '사람들', '지위', '신분', '등', '보다', '윗자리에', '의', '보다', '뛰어나서', '을', '넘어서', '그는', '나보다', '지위가', '높다', '수입', '이상의', '생활을', '하지', '말게', '보다', '오히려', '목숨보다', '명예를', '존중한다', '보통', '동사의', '보어로', '능력', '등', '이', '미치지', '못하는', '이', '책은', '나한테는', '너무', '어렵다', '을', '초월하여', '당신은', '이기심을', '초월하고', '있소', '그의', '용맹은', '칭찬할', '말이', '없다', '을', '목적어로', '하여', '사람이', '고결하여', '따위', '짓은', '하지', '않는', '을', '부끄럽게', '여기는', '그', '는', '거', '짓', '말', '을', '할', '사', '람', '이', '아', '니', '다', '나는', '질문하는', '것을', '부끄럽게', '여기지', '않는다', '특히', '그', '중에서도', '무엇보다도', '분수를', '모르다', '자만하다', '흥분하고', '있다', '들떠', '있다', '자만하다', '위쪽에', '으로', '위층에', '위층의', '방', '는', '바로', '윗방', '하늘에', '공중에', '하늘에', '하늘의', '별', '하늘로', '날아오르다', '하천의', '상류에', '지위', '신분이', '윗자리에', '있는', '상급', '법원에', '항소하다', '수량이', '을', '넘어', '있는', '보다', '많이', '크게', '세', '이상의', '사람들', '책', '등의', '앞', '글에', '페이지의', '위쪽에', '위', '상기', '와', '같이', '복합어를', '이루어', '위편으로부터', '의', '상사로부터', '의', '하늘', '하느님', '로부터', '의', '위에서', '말한', '상술의', '위의', '예', '상기의', '사실', '집합적으로', '상기', '이상', '의', '사실', '사람', '집합체로', '생각할', '때는', '단수', '구성', '요소로', '생각할', '때는', '복수', '취급', '상술의', '사실은', '을', '증명함', '상기의', '것이', '그가', '모아온', '사실들이다']"
4,4,5,absent,어떤,"['어떤', '일에서', '떨어져', '서', '의', '뜻에서', '부재의', '없는', '집을', '비운', '불참의', '결석의', '결근의', '집을', '비우고', '결석하고', '있다', '온양에', '가고', '없다', '없는', '결여된', '방심한', '멍한', '모습', '멍하니', '속담', '거자일소', '오래', '헤어져', '있으면', '잊혀진다', '로', '결석', '결근', '하다', '결석하다']"
5,5,6,absolute,절대의,"['절대의', '절대적', '인', '다른', '것에제약되지', '않는', '무조건의', '전제', '독재', '의', '완전', '무결한', '순수한', '순전한', '단연', '한', '정말로', '한', '전적으로', '한', '그야말로', '언어도단이다', '독립의', '유리된', '독립', '구문', '독립', '부정사', '분사', '기계어', '로', '쓰인', '절대', '우주', '신']"
6,6,7,accept,선,"['선', '물', '등을', '기꺼이', '받아들이다', '받다', '여자가', '남자의', '구혼에', '응하다', '초대', '신청', '임명', '등을', '수락하다', '받아들이다', '사태', '등에', '순응하다', '감수하다', '설명', '학설', '등을', '인정하다', '용인하다', '믿다', '그', '이야기를', '곧이듣다', '그대로', '믿다', '설명을', '진실', '사실', '로서', '받아들이다', '어구의', '뜻을', '취하다', '해석하다', '어음을', '인수하다', '싸움에', '응하다', '응전하다', '편들다', '역성하다', '두둔하다', '의', '청혼을', '받아들이다', '에게', '편들다', '역성들다', '초대', '제의', '등을', '수락하다', '받아들이다', '그', '사절은', '제시된', '조건을', '수락했다', '종종', '를', '수반하는데', '고풍의', '격식을', '차리는', '어법', '에서는', '쓰지', '않음']"
7,7,8,accident,몸에,"['몸에', '떨어지다', '몸에', '일어나다', '의', '뜻에서', '우연한', '사건', '특히', '불의의', '사고', '로', '되었음', '사고', '재난', '고장', '재해', '미', '자동차', '사고', '철도', '사고', '속담', '사고는', '생기기', '마련', '우연', '우연한', '일', '뜻밖의', '일', '부귀', '또는', '비천하게', '태어난', '팔자', '부수적인', '사태', '성질', '우유성', '지형의', '기복', '우연히', '불의의', '변을', '당하다', '불가피적', '사고', '불가항력', '무사히']"
8,8,9,accompany,사람이,"['사람이', '동반하다', '동행하다', '함께', '가다', '수행하다', '사물이', '을', '수반하다', '와', '동시에', '일어나다', '을', '문까지', '전송하다', '친구를', '동반하다', '사물을', '수반하다', '이', '수반하여', '일어나다', '반주하다', '플루트', '피아노', '로', '노래', '가수', '의', '반주를', '하다', '따르게', '하다', '곁들이다', '덧붙이다', '호통치며', '한', '대', '갈기다']"
9,9,10,accomplish,이루다,"['이루다', '성취하다', '완수하다', '완성하다', '어떤', '특정한', '일', '목표', '등을', '노력하여', '완성', '달성하다', '달성이', '곤란한', '목표에', '많은', '노력의', '결과로', '도달하다', '기술', '노력', '능력', '등에', '의해', '어떤', '목표를', '달성하다', '보통', '수동형', '에게', '학업', '기예', '등을', '가르치다']"
